n,iterations,weight,no_vertices,time,n_edges
72,5183.999999999999,4201.0,72.00000000000001,0.276151180267334,2507.0
73,5328.999999999999,3703.000000000001,72.99999999999999,0.28616027832031254,2566.9999999999995
74,5476.000000000001,3450.0,74.0,0.30627875328063964,2655.9999999999995
75,5625.0,3844.0000000000005,75.0,0.3292999029159546,2734.0000000000005
76,5776.000000000001,3828.000000000001,76.0,0.336205530166626,2808.0000000000005
77,5928.999999999999,4170.0,77.00000000000001,0.3499184131622315,2889.0000000000005
78,6083.999999999999,4039.0000000000005,77.99999999999999,0.3795462131500244,2956.9999999999995
79,6241.000000000001,3798.000000000001,79.0,0.38625123500823977,3021.9999999999995
80,6400.0,3504.0000000000005,80.0,0.4060689926147461,3110.9999999999995
81,6561.000000000001,4101.999999999999,80.99999999999999,0.43039145469665524,3178.0000000000005
